"id_all";"satz_id";"wiederholung";"variante_H2O";"T0020_nFK";"T2040_nFK";"T4060_nFK";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input"
1;2;"a";"Wfull";103.58;105.12;104.21;4;22.54;22.54;12.1;31.3;48.06;25.2;83.7;7475.7;0.89;15.19;15.19;87.77;87.77;26398.03;0;61.04;61.04;20;30;50;1.2;0.222565019074796;11.0718402673464;9
1;2;"a";"Wfull";106.11;104.07;102.42;5;25.26;25;13.4;35.3;46.55;25.6;77.8;7472.48;0.78;15.14;15.14;113.04;112.77;33870.5;0;76.18;76.18;20;30;50;1.2;0.27805034245576;11.514878949033;0.5
1;2;"a";"Wfull";102.22;103.34;102.13;6;24.81;24.81;15.9;33.2;59.9;39.7;83.5;3696.62;0.78;15.09;15.09;137.85;137.59;37567.12;0.1;91.27;91.27;20;30;50;1.2;0.345891635105408;11.9608035147091;9.1
1;2;"a";"Wfull";114.59;105.83;102.09;7;23.05;23.05;17.5;28.4;61.7;38.4;88.1;5390.23;1.77;15.05;15.05;160.9;160.64;42957.35;6.2;106.32;106.32;20;30;50;1.2;0.428199363111689;12.4089151618977;6.1
1;2;"a";"Wfull";107.79;109.84;103.36;8;19.57;19.57;16.6;24.7;62.77;38.6;79;3261.4;1.44;15;15;180.47;180.21;46218.75;6.2;121.32;121.32;20;30;50;1.2;0.526996459185932;12.8579098708911;0
1;2;"a";"Wfull";104.1;107.24;103.99;9;19.96;19.96;14.9;26.7;55.62;36.2;77;5479.02;1.49;14.95;14.95;200.43;200.17;51697.78;6.2;136.27;136.27;20;30;50;1.2;0.644183204397367;13.3067764647802;0
1;2;"a";"Wfull";101.75;106.01;103.97;10;20.43;20.43;10.4;28.4;52.58;28.4;84;7145.05;0.88;14.9;14.9;220.86;220.6;58842.82;6.2;151.17;151.17;20;30;50;1.2;0.781263194327629;13.7545115302394;4.8
1;2;"a";"Wfull";100.62;104.75;103.68;11;22.59;22.59;12.2;31.1;53.49;33.3;84.5;7203;0.91;14.84;14.84;243.45;243.18;66045.82;6.2;166.01;166.01;20;30;50;1.2;0.938946829310902;14.1998286462465;0
1;2;"a";"Wfull";99.83;104.67;103.52;12;25.39;25;14.4;34.5;52.22;30.1;86.8;7013.95;0.89;14.79;14.79;268.84;268.18;73059.77;6.2;180.8;180.8;20;30;50;1.2;1.11716369346319;14.6420686213203;9.3
1;2;"a";"Wfull";103.75;103.99;103.09;13;27.41;25;17.1;36.4;51.94;28.9;84.7;6830.08;0.68;14.74;14.74;296.25;293.18;79889.85;6.2;195.54;195.54;20;30;50;1.2;1.31452084482056;15.0803048367027;0
1;2;"a";"Wfull";101.23;103.72;102.28;14;27.81;25;17.9;37.1;50.07;26.4;79.1;6438.02;1.11;14.69;14.69;324.06;318.18;86327.88;6.2;210.23;210.23;20;30;50;1.2;1.52823805127919;15.5136510126561;0
1;2;"a";"Wfull";97.38;102.8;102.3;15;27.31;25;21.5;34.8;53.54;32.8;73.7;4166.65;0.86;14.63;14.63;351.37;343.18;90494.52;6.2;224.86;224.86;20;30;50;1.2;1.75402029430466;15.9409772766785;0
1;2;"a";"Wfull";93.51;100.99;101.65;16;26.91;25;20.6;35.5;59.86;34;82.7;4299.68;1.11;14.58;14.58;378.27;368.18;94794.2;6.4;239.44;239.44;20;30;50;1.2;1.98677374148888;16.3617946216891;9.2
1;2;"a";"Wfull";94.57;99.62;101.11;17;25.51;25;18.5;34.4;67.13;41.6;89.5;5337.62;1.31;14.53;14.53;403.79;393.18;100131.82;9;253.97;253.97;20;30;50;1.2;2.22061337238934;16.7753748933118;2.6
2;2;"b";"Wred";102.3;99.71;100.62;4;22.54;22.54;12.1;31.3;48.06;25.2;83.7;7475.7;0.89;15.19;15.19;87.77;87.77;26398.03;0;61.04;61.04;20;30;50;1.2;0.222565019074796;11.0718402673464;9
2;2;"b";"Wred";105.05;99.87;99.55;5;25.26;25;13.4;35.3;46.55;25.6;77.8;7472.48;0.78;15.14;15.14;113.04;112.77;33870.5;0;76.18;76.18;20;30;50;1.2;0.27805034245576;11.514878949033;0.5
2;2;"b";"Wred";101.09;99.97;99.43;6;24.81;24.81;15.9;33.2;59.9;39.7;83.5;3696.62;0.78;15.09;15.09;137.85;137.59;37567.12;0.1;91.27;91.27;20;30;50;1.2;0.345891635105408;11.9608035147091;9.1
2;2;"b";"Wred";113.89;101.86;99.71;7;23.05;23.05;17.5;28.4;61.7;38.4;88.1;5390.23;1.77;15.05;15.05;160.9;160.64;42957.35;6.2;106.32;106.32;20;30;50;1.2;0.428199363111689;12.4089151618977;6.1
2;2;"b";"Wred";106.34;104.61;100.35;8;19.57;19.57;16.6;24.7;62.77;38.6;79;3261.4;1.44;15;15;180.47;180.21;46218.75;6.2;121.32;121.32;20;30;50;1.2;0.526996459185932;12.8579098708911;0
2;2;"b";"Wred";102.47;103.25;101.51;9;19.96;19.96;14.9;26.7;55.62;36.2;77;5479.02;1.49;14.95;14.95;200.43;200.17;51697.78;6.2;136.27;136.27;20;30;50;1.2;0.644183204397367;13.3067764647802;0
2;2;"b";"Wred";100.2;102.02;101.9;10;20.43;20.43;10.4;28.4;52.58;28.4;84;7145.05;0.88;14.9;14.9;220.86;220.6;58842.82;6.2;151.17;151.17;20;30;50;1.2;0.781263194327629;13.7545115302394;4.8
2;2;"b";"Wred";99.2;101.04;102.05;11;22.59;22.59;12.2;31.1;53.49;33.3;84.5;7203;0.91;14.84;14.84;243.45;243.18;66045.82;6.2;166.01;166.01;20;30;50;1.2;0.938946829310902;14.1998286462465;0
2;2;"b";"Wred";98.34;100.56;102.18;12;25.39;25;14.4;34.5;52.22;30.1;86.8;7013.95;0.89;14.79;14.79;268.84;268.18;73059.77;6.2;180.8;180.8;20;30;50;1.2;1.11716369346319;14.6420686213203;9.3
