"wasser_level";"zeit_messung";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"T0020_nFK";"T2040_nFK";"T4060_nFK"
"Wfull";2020-07-30;51.79;47.54;50;1.71;1.68;1.7;103.57;105.12;104.21
"Wfull";2020-07-31;45.01;50.39;55.21;1.65;1.7;1.74;106.11;104.07;102.42
"Wfull";2020-08-01;55.8;52.45;56.08;1.75;1.72;1.75;102.22;103.34;102.13
"Wfull";2020-08-02;28.18;45.71;56.21;1.45;1.66;1.75;114.59;105.83;102.09
"Wfull";2020-08-03;41.02;36.64;52.4;1.61;1.56;1.72;107.79;109.83;103.36
"Wfull";2020-08-04;50.29;42.3;50.62;1.7;1.63;1.7;104.1;107.24;103.99
"Wfull";2020-08-05;57.29;45.27;50.66;1.76;1.66;1.7;101.75;106.01;103.97
"Wfull";2020-08-06;60.96;48.54;51.48;1.79;1.69;1.71;100.62;104.75;103.68
"Wfull";2020-08-07;63.7;48.74;51.93;1.8;1.69;1.72;99.83;104.67;103.52
"Wfull";2020-08-08;51.28;50.61;53.19;1.71;1.7;1.73;103.75;103.99;103.09
"Wfull";2020-08-09;58.95;51.36;55.62;1.77;1.71;1.75;101.23;103.72;102.28
"Wfull";2020-08-10;72.92;54.06;55.56;1.86;1.73;1.74;97.38;102.8;102.3
"Wfull";2020-08-11;90.32;59.74;57.6;1.96;1.78;1.76;93.51;100.99;101.65
"Wfull";2020-08-12;85.18;64.43;59.35;1.93;1.81;1.77;94.57;99.62;101.11
"Wfull";2020-08-13;79.28;68.35;61.15;1.9;1.83;1.79;95.87;98.55;100.57
"Wfull";2020-08-14;77.74;69.14;62.37;1.89;1.84;1.8;96.22;98.35;100.21
"Wfull";2020-08-15;98.52;70.04;62.77;1.99;1.85;1.8;91.94;98.11;100.09
"Wfull";2020-08-16;144.99;76.45;65.47;2.16;1.88;1.82;84.94;96.53;99.33
"Wfull";2020-08-17;218.69;87.71;67.24;2.34;1.94;1.83;77.51;94.04;98.85
"Wfull";2020-08-18;314.76;99.28;68.7;2.5;2;1.84;70.92;91.8;98.46
"Wfull";2020-08-19;407.28;112.24;73.05;2.61;2.05;1.86;66.25;89.58;97.35
"Wfull";2020-08-20;474.39;123.06;75.57;2.68;2.09;1.88;63.49;87.91;96.74
"Wfull";2020-08-21;579.29;140.18;77.65;2.76;2.15;1.89;59.88;85.55;96.24
"Wfull";2020-08-22;703.93;167.58;82.18;2.85;2.22;1.91;56.35;82.32;95.22
"Wfull";2020-08-23;781.4;198.74;87.52;2.89;2.3;1.94;54.46;79.24;94.08
"Wfull";2020-08-24;833.91;237.38;93.3;2.92;2.38;1.97;53.29;76.02;92.92
"Wfull";2020-08-25;843.72;240.69;98.07;2.93;2.38;1.99;53.07;75.77;92.02
"Wfull";2020-08-26;809.38;274.33;104.65;2.91;2.44;2.02;53.83;73.41;90.84
"Wfull";2020-08-27;781.9;306.1;110.81;2.89;2.49;2.04;54.45;71.42;89.81
"Wfull";2020-08-28;757.46;332.72;115.24;2.88;2.52;2.06;55.03;69.91;89.1
"Wfull";2020-08-29;773.69;377.22;122.72;2.89;2.58;2.09;54.64;67.64;87.96
"Wfull";2020-08-30;624.97;367.98;127.28;2.8;2.57;2.1;58.51;68.09;87.3
"Wfull";2020-08-31;277.8;333.78;132.18;2.44;2.52;2.12;73.18;69.86;86.62
"Wfull";2020-09-01;27;75.11;127.91;1.43;1.88;2.11;115.36;96.85;87.21
"Wfull";2020-09-02;46.96;54.82;112.44;1.67;1.74;2.05;105.34;102.54;89.55
"Wfull";2020-09-03;65.92;67.7;100.43;1.82;1.83;2;99.21;98.72;91.59
"Wfull";2020-09-04;98.47;83.54;96.35;1.99;1.92;1.98;91.95;94.92;92.34
"Wfull";2020-09-05;173.92;114.35;99.26;2.24;2.06;2;81.65;89.24;91.8
"Wfull";2020-09-06;317.28;152.3;107.01;2.5;2.18;2.03;70.77;84.05;90.44
"Wfull";2020-09-07;485.39;181.53;115.75;2.69;2.26;2.06;63.08;80.88;89.02
"Wfull";2020-09-08;699.1;237.6;126.72;2.84;2.38;2.1;56.48;76.01;87.38
"Wfull";2020-09-09;410.41;289.86;138.89;2.61;2.46;2.14;66.12;72.41;85.72
"Wfull";2020-09-10;160.23;318.3;143.31;2.2;2.5;2.16;83.14;70.72;85.16
"Wred";2020-07-30;55.55;64.13;60.98;1.74;1.81;1.79;102.3;99.71;100.62
"Wred";2020-07-31;47.72;63.55;64.69;1.68;1.8;1.81;105.05;99.87;99.55
"Wred";2020-08-01;59.41;63.21;65.11;1.77;1.8;1.81;101.09;99.97;99.43
"Wred";2020-08-02;29.28;56.94;64.1;1.47;1.76;1.81;113.89;101.86;99.71
"Wred";2020-08-03;44.44;48.91;61.89;1.65;1.69;1.79;106.34;104.61;100.35
"Wred";2020-08-04;55.04;52.73;58.06;1.74;1.72;1.76;102.47;103.25;101.5
"Wred";2020-08-05;62.41;56.44;56.81;1.8;1.75;1.75;100.2;102.02;101.9
"Wred";2020-08-06;65.94;59.56;56.35;1.82;1.77;1.75;99.2;101.04;102.05
"Wred";2020-08-07;69.13;61.16;55.92;1.84;1.79;1.75;98.35;100.56;102.19
"Wred";2020-08-08;55.15;62.09;55.92;1.74;1.79;1.75;102.44;100.29;102.19
"Wred";2020-08-09;62.28;62.18;56.77;1.79;1.79;1.75;100.24;100.26;101.91
"Wred";2020-08-10;78.25;64.03;56.94;1.89;1.81;1.76;96.1;99.73;101.86
"Wred";2020-08-11;97.93;67.96;58.17;1.99;1.83;1.76;92.05;98.66;101.47
"Wred";2020-08-12;90.81;72.53;60.26;1.96;1.86;1.78;93.41;97.48;100.83
"Wred";2020-08-13;83.39;74.68;62.76;1.92;1.87;1.8;94.95;96.95;100.1
